video_genres,video_level,video_title,video_url,video_year,release_date
Action Crime Drama Episode aired ,"TV-14
                        
    
, 
,",Homecoming,https://www.imdb.com/title/tt8231942/,,9 May 2018
Documentary,TV-14,Solitary,https://www.imdb.com/title/tt5737938/,2016,9 December 2016 U SA)
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",The Last Day,https://www.imdb.com/title/tt7183086/,,19 January 2018
Reality-T VT V Special ,,The 58th Annual Primetime Emmy Awards,https://www.imdb.com/title/tt0808137/,2006,27 August 2006
Reality-T VEpisode aired ,TV-14,Hot Off the Press,https://www.imdb.com/title/tt1634254/,,1 April 2010
Drama Mystery Thriller,"R
                        
    
, 
,",Basic Instinct,https://www.imdb.com/title/tt0103772/,1992,20 March 1992 U SA)
Drama Mystery Thriller,"R
                        
    
, 
,",Blue Velvet,https://www.imdb.com/title/tt0090756/,1986,23 October 1986 Italy)
Short Comedy Drama,", 
,",Home Bound,https://www.imdb.com/title/tt3835230/,2014,29 June 2014 U SA)
Crime Drama Mystery TV Series ,"TV-PG
                        
    
, 
,",Columbo,https://www.imdb.com/title/tt1466074/,,1971–2003)
Drama Romance Episode aired ,"TV-PG
                        
    
,",Episode #1.7358,https://www.imdb.com/title/tt1662315/,,10 June 2010
Comedy Music Talk-Show Episode aired ,"TV-14
                        
    
, 
,",Episode #7.54,https://www.imdb.com/title/tt1770434/,,19 November 2010
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.13,https://www.imdb.com/title/tt8422666/,,2019
Adventure,,Capitaine Achab,https://www.imdb.com/title/tt0824298/,2007,13 February 2008 France)
Horror Thriller,"R
                        
    
,",Friday the 13th Part III,https://www.imdb.com/title/tt0083972/,1982,13 August 1982 U SA)
Comedy Talk-Show Episode aired ,",",Episode #2.11,https://www.imdb.com/title/tt6466286/,,24 January 2017
